,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,playlist,genre,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,danceability_original,energy_original,loudness_original,speechiness_original,acousticness_original,instrumentalness_original,liveness_original,valence_original,tempo_original,duration_ms_original,time_signature_original
40,0.579576317,0.9164167559999999,0.944718865,1,0.102240896,0.294174964,0.0,0.36966034600000003,0.86940495,0.684025522,audio_features,3yCeppDD1IM0GcBvN8K3KL,spotify:track:3yCeppDD1IM0GcBvN8K3KL,https://api.spotify.com/v1/tracks/3yCeppDD1IM0GcBvN8K3KL,https://api.spotify.com/v1/audio-analysis/3yCeppDD1IM0GcBvN8K3KL,0.068889493,0.75,Girl In A Country Song: Maddie & Tae ,Top 100 Country Tracks on Spotify,Country,0,0,0,0,0,0,0,0,1,0,0,0,0.593,0.9109999999999999,-3.81,0.096,0.293,0.0,0.376,0.846,160.071,218907,4
42,0.516567083,0.660631889,0.864277457,1,0.013305322,0.018672275,0.0,0.08835174,0.7640863609999999,0.70938881,audio_features,3gz4UBairZaiIRTti4AqSm,spotify:track:3gz4UBairZaiIRTti4AqSm,https://api.spotify.com/v1/tracks/3gz4UBairZaiIRTti4AqSm,https://api.spotify.com/v1/audio-analysis/3gz4UBairZaiIRTti4AqSm,0.061734789000000005,0.75,Rewind: Rascal Flatts ,Top 100 Country Tracks on Spotify,Country,0,0,0,1,0,0,0,0,0,0,0,0,0.535,0.657,-7.6370000000000005,0.0325,0.0186,0.0,0.106,0.746,164.054,206267,4
44,0.569799022,0.794566485,0.887251708,1,0.025490196,0.044575953,4.3e-05,0.05438633,0.706161137,0.454081178,audio_features,0yGeVoWrSc7Ocnv8sSouNC,spotify:track:0yGeVoWrSc7Ocnv8sSouNC,https://api.spotify.com/v1/tracks/0yGeVoWrSc7Ocnv8sSouNC,https://api.spotify.com/v1/audio-analysis/0yGeVoWrSc7Ocnv8sSouNC,0.066649686,0.75,Gonna Wanna Tonight: Chase Rice ,Top 100 Country Tracks on Spotify,Country,0,0,1,0,0,0,0,0,0,0,0,0,0.584,0.79,-6.544,0.0412,0.0444,4.22e-05,0.0734,0.691,123.961,214950,4
46,0.46224877799999997,0.899297297,0.937025749,1,0.021428571,0.000491507,0.0,0.069076891,0.687203791,0.14248143800000002,audio_features,20WJpmXfRbqeuY2TH5xYna,spotify:track:20WJpmXfRbqeuY2TH5xYna,https://api.spotify.com/v1/tracks/20WJpmXfRbqeuY2TH5xYna,https://api.spotify.com/v1/audio-analysis/20WJpmXfRbqeuY2TH5xYna,0.045842178,0.75,Lay It On Me: Dylan Scott ,Top 100 Country Tracks on Spotify,Country,0,0,0,0,0,0,1,0,0,0,0,0,0.485,0.894,-4.176,0.0383,0.000492,0.0,0.0875,0.6729999999999999,75.028,178190,4
48,0.463335144,0.7744259440000001,0.9292695740000001,1,0.034733894,0.154616386,0.0,0.076578454,0.40600316,0.19926387199999998,audio_features,1WmoBNBqH88brQhIkAkr8b,spotify:track:1WmoBNBqH88brQhIkAkr8b,https://api.spotify.com/v1/tracks/1WmoBNBqH88brQhIkAkr8b,https://api.spotify.com/v1/audio-analysis/1WmoBNBqH88brQhIkAkr8b,0.077606457,0.75,Pray for You: The Swon Brothers ,Top 100 Country Tracks on Spotify,Country,0,0,0,0,0,0,0,0,0,1,0,0,0.486,0.77,-4.545,0.0478,0.154,0.0,0.0947,0.406,83.945,234307,4
50,0.557848995,0.897283242,0.945538623,1,0.033193277,0.41867326299999996,0.0,0.561366951,1.0,0.9759421290000001,audio_features,6CsZeVdSAfEmbCNRxHL6ur,spotify:track:6CsZeVdSAfEmbCNRxHL6ur,https://api.spotify.com/v1/tracks/6CsZeVdSAfEmbCNRxHL6ur,https://api.spotify.com/v1/audio-analysis/6CsZeVdSAfEmbCNRxHL6ur,0.030036736,0.75,Eat Sleep Love You Repeat: Rodney Atkins ,Top 100 Country Tracks on Spotify,Country,0,0,0,0,0,1,0,0,0,0,0,0,0.573,0.892,-3.7710000000000004,0.0467,0.41700000000000004,0.0,0.56,0.97,205.91299999999998,150267,4
52,0.674090168,0.951662702,0.955691014,1,0.047478992000000005,0.48795054299999996,0.0,0.156074182,0.8409689309999999,0.47990295299999997,audio_features,6vZLPNtssv56YmFYPhZKp7,spotify:track:6vZLPNtssv56YmFYPhZKp7,https://api.spotify.com/v1/tracks/6vZLPNtssv56YmFYPhZKp7,https://api.spotify.com/v1/audio-analysis/6vZLPNtssv56YmFYPhZKp7,0.084602105,0.75,Upside Down: Dean Brody ,Top 100 Country Tracks on Spotify,Country,0,0,0,0,0,0,0,0,0,0,0,1,0.68,0.946,-3.2880000000000003,0.0569,0.486,0.0,0.171,0.8190000000000001,128.016,246666,4
54,0.513307985,0.911381621,0.961954808,1,0.026330532,0.051202476,0.0,0.11648260099999999,0.578725645,0.44860479600000003,audio_features,44tlexN3Rxgake8xlZePPI,spotify:track:44tlexN3Rxgake8xlZePPI,https://api.spotify.com/v1/tracks/44tlexN3Rxgake8xlZePPI,https://api.spotify.com/v1/audio-analysis/44tlexN3Rxgake8xlZePPI,0.064526482,0.75,Make You Mine (feat. Ricky Skaggs): High Valley Ricky Skaggs ,Top 100 Country Tracks on Spotify,Country,1,0,0,0,0,0,0,0,0,0,0,0,0.532,0.9059999999999999,-2.99,0.0418,0.051,0.0,0.133,0.57,123.101,211199,4
56,0.5469853339999999,0.583090808,0.929563847,1,0.0067226890000000004,0.503010821,0.0,0.10502188,0.253291206,0.39106458299999997,audio_features,3G3GlamGhK0TKNODAaOwkE,spotify:track:3G3GlamGhK0TKNODAaOwkE,https://api.spotify.com/v1/tracks/3G3GlamGhK0TKNODAaOwkE,https://api.spotify.com/v1/audio-analysis/3G3GlamGhK0TKNODAaOwkE,0.082149468,0.5,Better Than You Left Me: Mickey Guyton ,Top 100 Country Tracks on Spotify,Country,0,0,0,0,0,0,0,0,0,0,1,0,0.563,0.58,-4.531000000000001,0.0278,0.501,0.0,0.122,0.261,114.065,242333,3
58,0.58718088,0.813699999,0.881639517,1,0.141456583,0.1174677,0.0,0.113356949,0.7040547659999999,0.811313185,audio_features,4QqpHeOph5V0eXSLyEZI06,spotify:track:4QqpHeOph5V0eXSLyEZI06,https://api.spotify.com/v1/tracks/4QqpHeOph5V0eXSLyEZI06,https://api.spotify.com/v1/audio-analysis/4QqpHeOph5V0eXSLyEZI06,0.052715560999999994,0.75,Buzz Back Girl: Jerrod Niemann ,Top 100 Country Tracks on Spotify,Country,1,0,0,0,0,0,0,0,0,0,0,0,0.6,0.809,-6.811,0.124,0.11699999999999999,0.0,0.13,0.6890000000000001,180.06,190333,4
60,0.54263987,0.895269188,0.973893852,1,0.023809524,0.058331008,0.008248473000000001,0.140445926,0.498683518,0.32039379,audio_features,1mIv6XXF0sxhhcq1Ai7n09,spotify:track:1mIv6XXF0sxhhcq1Ai7n09,https://api.spotify.com/v1/tracks/1mIv6XXF0sxhhcq1Ai7n09,https://api.spotify.com/v1/audio-analysis/1mIv6XXF0sxhhcq1Ai7n09,0.061734789000000005,0.75,Headlights: Montgomery Gentry ,Top 100 Country Tracks on Spotify,Country,0,0,0,0,0,0,0,0,0,1,0,0,0.5589999999999999,0.89,-2.4219999999999997,0.04,0.0581,0.0081,0.156,0.494,102.96700000000001,206267,4
62,0.402498642,0.5901399970000001,0.909616395,1,0.028571429,0.322287483,0.0,0.063763284,0.837809373,0.953578115,audio_features,09jbT6iy5Kok3RruyVv7cn,spotify:track:09jbT6iy5Kok3RruyVv7cn,https://api.spotify.com/v1/tracks/09jbT6iy5Kok3RruyVv7cn,https://api.spotify.com/v1/audio-analysis/09jbT6iy5Kok3RruyVv7cn,0.056459327000000004,0.75,Biscuits: Kacey Musgraves ,Top 100 Country Tracks on Spotify,Country,1,0,0,0,0,0,0,0,0,0,0,0,0.43,0.5870000000000001,-5.48,0.0434,0.321,0.0,0.0824,0.816,202.40099999999998,196947,4
64,0.760999457,0.683793511,0.9306148190000001,1,0.031652661,0.006885097,0.0,0.043863305,0.991574513,0.384085381,audio_features,1dlwBmalURXIQ29gMXYBnt,spotify:track:1dlwBmalURXIQ29gMXYBnt,https://api.spotify.com/v1/tracks/1dlwBmalURXIQ29gMXYBnt,https://api.spotify.com/v1/audio-analysis/1dlwBmalURXIQ29gMXYBnt,0.058437626,0.75,Crank It Up: Colt Ford ,Top 100 Country Tracks on Spotify,Country,0,0,0,0,0,0,0,1,0,0,0,0,0.76,0.68,-4.481,0.0456,0.00686,0.0,0.0633,0.9620000000000001,112.969,200442,4
66,0.44812601799999996,0.387727563,0.8546715709999999,1,0.014565826,0.851405255,1.45e-06,0.132110856,0.340705635,0.197843834,audio_features,7t7CM05fi5INQlSvK5dfgP,spotify:track:7t7CM05fi5INQlSvK5dfgP,https://api.spotify.com/v1/tracks/7t7CM05fi5INQlSvK5dfgP,https://api.spotify.com/v1/audio-analysis/7t7CM05fi5INQlSvK5dfgP,0.058130268,0.75,Girls from Texas (feat. Lyle Lovett): Pat Green Lyle Lovett ,Top 100 Country Tracks on Spotify,Country,0,0,1,0,0,0,0,0,0,0,0,0,0.47200000000000003,0.386,-8.094,0.0334,0.848,1.42e-06,0.14800000000000002,0.344,83.72200000000001,199899,4
68,0.520912548,0.88117081,0.936163952,1,0.025070027999999998,0.06606195,0.0,0.30923109,0.991574513,0.629452744,audio_features,2qKdb9jWCdzOYjRhfGiMVS,spotify:track:2qKdb9jWCdzOYjRhfGiMVS,https://api.spotify.com/v1/tracks/2qKdb9jWCdzOYjRhfGiMVS,https://api.spotify.com/v1/audio-analysis/2qKdb9jWCdzOYjRhfGiMVS,0.048709153,0.75,All Country on You: Austin Webb ,Top 100 Country Tracks on Spotify,Country,0,0,1,0,0,0,0,0,0,0,0,0,0.539,0.8759999999999999,-4.217,0.0409,0.0658,0.0,0.318,0.9620000000000001,151.501,183255,4
70,0.210211841,0.606252429,0.9324014709999999,1,0.018627451,0.016463434,0.0,0.136278391,0.212216956,0.663832958,audio_features,1XVjDTZoBVSpsyqTzIGMXO,spotify:track:1XVjDTZoBVSpsyqTzIGMXO,https://api.spotify.com/v1/tracks/1XVjDTZoBVSpsyqTzIGMXO,https://api.spotify.com/v1/audio-analysis/1XVjDTZoBVSpsyqTzIGMXO,0.059983472,0.5,Fall Apart: Casey James ,Top 100 Country Tracks on Spotify,Country,1,0,0,0,0,0,0,0,0,0,0,0,0.253,0.603,-4.396,0.0363,0.0164,0.0,0.152,0.222,156.9,203173,3
72,0.500271592,0.913395675,0.953231739,1,0.029131652999999997,0.113451626,0.00028920599999999997,0.143571577,0.811479726,0.645302411,audio_features,7INe1ffNmCw9N9YrqNdJga,spotify:track:7INe1ffNmCw9N9YrqNdJga,https://api.spotify.com/v1/tracks/7INe1ffNmCw9N9YrqNdJga,https://api.spotify.com/v1/audio-analysis/7INe1ffNmCw9N9YrqNdJga,0.059387435,0.75,Bad Girl Phase: Sunny Sweeney ,Top 100 Country Tracks on Spotify,Country,0,0,0,0,0,1,0,0,0,0,0,0,0.52,0.9079999999999999,-3.405,0.0438,0.113,0.00028399999999999996,0.159,0.7909999999999999,153.99,202120,4
74,0.7360130359999999,0.7653627009999999,0.9119285340000001,1,0.011204482,0.6224890270000001,0.001028513,0.041883726,0.647182728,0.27623887199999997,audio_features,32W1MeNQSxsCImq05yvnDW,spotify:track:32W1MeNQSxsCImq05yvnDW,https://api.spotify.com/v1/tracks/32W1MeNQSxsCImq05yvnDW,https://api.spotify.com/v1/audio-analysis/32W1MeNQSxsCImq05yvnDW,0.06097969599999999,0.75,"Hot Corn, Cold Corn: Robert Earl Keen ",Top 100 Country Tracks on Spotify,Country,0,0,1,0,0,0,0,0,0,0,0,0,0.737,0.7609999999999999,-5.37,0.031,0.62,0.00101,0.0614,0.635,96.03299999999999,204933,4
76,0.617599131,0.877142702,0.9306988959999999,1,0.007703081,0.0036220370000000003,0.0,0.128985205,0.75671406,0.41607763700000006,audio_features,7IVbUAUrUlbbwAebTg6a9b,spotify:track:7IVbUAUrUlbbwAebTg6a9b,https://api.spotify.com/v1/tracks/7IVbUAUrUlbbwAebTg6a9b,https://api.spotify.com/v1/audio-analysis/7IVbUAUrUlbbwAebTg6a9b,0.051962732000000005,0.75,When The Lights Go Down: Chad Brownlee ,Top 100 Country Tracks on Spotify,Country,0,1,0,0,0,0,0,0,0,0,0,0,0.628,0.872,-4.477,0.0285,0.00361,0.0,0.145,0.7390000000000001,117.993,189003,4
