danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,playlist
0.584,0.866,10,-5.511,1,0.0419,0.00535,2.92e-05,0.0858,0.499,118.005,audio_features,3MFV4DgrAOXz6KURPQxRj9,spotify:track:3MFV4DgrAOXz6KURPQxRj9,https://api.spotify.com/v1/tracks/3MFV4DgrAOXz6KURPQxRj9,https://api.spotify.com/v1/audio-analysis/3MFV4DgrAOXz6KURPQxRj9,195973,4,Somewhere In My Car: Keith Urban ,Top 100 Country Tracks on Spotify
0.627,0.678,11,-5.892,1,0.0277,0.0651,7.3e-05,0.114,0.404,109.033,audio_features,3AYUY4avB7L8dZtNNmzZi8,spotify:track:3AYUY4avB7L8dZtNNmzZi8,https://api.spotify.com/v1/tracks/3AYUY4avB7L8dZtNNmzZi8,https://api.spotify.com/v1/audio-analysis/3AYUY4avB7L8dZtNNmzZi8,261613,4,Lay Low: Josh Turner ,Top 100 Country Tracks on Spotify
0.78,0.583,7,-7.36,1,0.0901,0.0526,4.08e-06,0.0367,0.881,85.014,audio_features,61tRRrJoargpHwT0uAEpuY,spotify:track:61tRRrJoargpHwT0uAEpuY,https://api.spotify.com/v1/tracks/61tRRrJoargpHwT0uAEpuY,https://api.spotify.com/v1/audio-analysis/61tRRrJoargpHwT0uAEpuY,186547,4,American Kids: Kenny Chesney ,Top 100 Country Tracks on Spotify
0.51,0.905,3,-2.913,1,0.0289,0.114,3.01e-06,0.143,0.796,156.06,audio_features,5y1ojCNp0g9IU7tmsrXPQk,spotify:track:5y1ojCNp0g9IU7tmsrXPQk,https://api.spotify.com/v1/tracks/5y1ojCNp0g9IU7tmsrXPQk,https://api.spotify.com/v1/audio-analysis/5y1ojCNp0g9IU7tmsrXPQk,216253,4,God Made Girls: RaeLynn ,Top 100 Country Tracks on Spotify
0.573,0.835,0,-5.981,1,0.0322,0.0113,0,0.136,0.598,111.031,audio_features,7196z4iac1h7cup3h9IwfR,spotify:track:7196z4iac1h7cup3h9IwfR,https://api.spotify.com/v1/tracks/7196z4iac1h7cup3h9IwfR,https://api.spotify.com/v1/audio-analysis/7196z4iac1h7cup3h9IwfR,165880,4,Turn It On: Eli Young Band ,Top 100 Country Tracks on Spotify
0.653,0.525,4,-7.446,1,0.0414,0.57,0,0.141,0.633,156.996,audio_features,3j0oJtPonSYt9f5jHVLb91,spotify:track:3j0oJtPonSYt9f5jHVLb91,https://api.spotify.com/v1/tracks/3j0oJtPonSYt9f5jHVLb91,https://api.spotify.com/v1/audio-analysis/3j0oJtPonSYt9f5jHVLb91,175615,4,Boom Clap: Lennon & Maisy ,Top 100 Country Tracks on Spotify
0.583,0.859,2,-4.495,1,0.0402,0.0579,0,0.11,0.607,142.071,audio_features,0IsjGDAqohBEdZWVoTaMjI,spotify:track:0IsjGDAqohBEdZWVoTaMjI,https://api.spotify.com/v1/tracks/0IsjGDAqohBEdZWVoTaMjI,https://api.spotify.com/v1/audio-analysis/0IsjGDAqohBEdZWVoTaMjI,192987,4,Raised by a Good Time: Steven Lee Olsen ,Top 100 Country Tracks on Spotify
0.477,0.702,0,-5.82,1,0.0459,0.0469,0,0.246,0.495,167.966,audio_features,4ahkoxZq93fgcyNmdskMIY,spotify:track:4ahkoxZq93fgcyNmdskMIY,https://api.spotify.com/v1/tracks/4ahkoxZq93fgcyNmdskMIY,https://api.spotify.com/v1/audio-analysis/4ahkoxZq93fgcyNmdskMIY,199947,4,Baby Be My Love Song: Easton Corbin ,Top 100 Country Tracks on Spotify
0.795,0.629,11,-6.284,0,0.0251,0.0146,0,0.0938,0.445,107.978,audio_features,5ZlPmjDhZi1qQWVHiaU7MU,spotify:track:5ZlPmjDhZi1qQWVHiaU7MU,https://api.spotify.com/v1/tracks/5ZlPmjDhZi1qQWVHiaU7MU,https://api.spotify.com/v1/audio-analysis/5ZlPmjDhZi1qQWVHiaU7MU,269347,4,That Look: Aaron Watson ,Top 100 Country Tracks on Spotify
0.636,0.835,6,-4.762,1,0.034,0.00179,1.81e-06,0.325,0.516,123.987,audio_features,2gCKzFcx0JB5WdK0MPbg8I,spotify:track:2gCKzFcx0JB5WdK0MPbg8I,https://api.spotify.com/v1/tracks/2gCKzFcx0JB5WdK0MPbg8I,https://api.spotify.com/v1/audio-analysis/2gCKzFcx0JB5WdK0MPbg8I,224427,4,Going Out Like That: Reba McEntire ,Top 100 Country Tracks on Spotify
